fips,state,county_name,spend,quality_bedweighted,z_spend,z_quality,beds_sum,discharges_sum
47143,TN,Rhea,11871.92,,0.11717531302951208,,0.0,0.0
17169,IL,Schuyler,11177.95,,-0.24868560366340922,,0.0,0.0
47109,TN,McNairy,12463.21,,0.4289033436812078,,,
48079,TX,Cochran,10955.33,,-0.3660508460718397,,0.0,0.0
47137,TN,Pickett,11798.35,,0.0783892161649529,,,
20155,KS,Reno,11498.51,,-0.07968640275402873,,0.0,1551.0
31181,NE,Webster,11208.96,,-0.23233713467102204,,0.0,0.0
21021,KY,Boyle,11357.14,,-0.1542166530427712,,0.0,970.0
18007,IN,Benton,12378.94,,0.38447620785442566,,,
19109,IA,Kossuth,10942.3,,-0.3729202608080805,,0.0,0.0
17005,IL,Bond,12273.37,,0.3288197140934971,,0.0,32.0
48195,TX,Hansford,12819.12,,0.6165390611620476,,0.0,0.0
19099,IA,Jasper,9753.99,,-0.9993971775557289,,0.0,104.0
20059,KS,Franklin,12680.91,,0.5436747625668215,,0.0,250.0
19135,IA,Monroe,12114.94,,0.2452954334593779,,0.0,0.0
38065,ND,Oliver,9556.27,,-1.103635142379171,,,
19165,IA,Shelby,12801.52,,0.6072603428690442,,0.0,0.0
46097,SD,Miner,10603.21,,-0.5516884759202653,,,
44001,RI,Bristol,11280.53,,-0.194605437612485,,,
42037,PA,Columbia,11133.29,,-0.2722303513319047,,0.0,279.0
47101,TN,Lewis,11216.09,,-0.2285781993625492,,,
27083,MN,Lyon,11502.97,,-0.0773350911865977,,0.0,0.0
31003,NE,Antelope,11890.95,,0.12720792718382212,,0.0,0.0
48251,TX,Johnson,14256.17,,1.3741516817847874,,0.0,281.0
48035,TX,Bosque,12248.09,,0.31549210054536486,,0.0,0.0
55099,WI,Price,8932.73,,-1.4323653699029901,,0.0,0.0
29103,MO,Knox,12463.64,,0.4291300396395029,,,
29125,MO,Maries,11443.98,,-0.1084346134652486,,,
26039,MI,Crawford,9608.62,,-1.0760362274565165,,0.0,199.0
27161,MN,Waseca,10327.41,,-0.6970902091708489,,0.0,0.0
29135,MO,Moniteau,10831.63,,-0.43126547407436816,,,
42097,PA,Northumberland,12025.92,,0.19836409809328995,,,
31119,NE,Madison,10894.67,,-0.39803079218851994,,0.0,890.0
31123,NE,Morrill,10459.7,,-0.6273469340014511,,0.0,0.0
26161,MI,Washtenaw,10402.4,,-0.6575554884440132,,0.0,15128.0
31141,NE,Platte,10510.78,,-0.6004175629556215,,0.0,305.0
